[14-Mar-19 - 13:33:03] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:33:19] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:33:34] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:33:49] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:34:04] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:34:19] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:34:38] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:34:38] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:34:38] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:34:38] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:35:05] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:36:20] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:36:48] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:37:14] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:37:47] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:38:58] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:39:18] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:39:57] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:40:39] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:50:40] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:50:56] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:51:11] 	 --- 	Object reference not set to an instance of an object.	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 13:54:09] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:54:09] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:54:09] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 13:54:09] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:00:20] 	 --- 	Object reference not set to an instance of an object.,     Method:PostallSettings	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 14:00:38] 	 --- 	Object reference not set to an instance of an object.,     Method:PostallSettings	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 14:04:29] 	 --- 	Object reference not set to an instance of an object.,     Method:PostallSettingsline number:0	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 14:04:53] 	 --- 	Object reference not set to an instance of an object.,     Method:PostallSettingsline number:0	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 14:05:13] 	 --- 	Object reference not set to an instance of an object.,     Method:PostallSettingsline number:0	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 14:05:39] 	 --- 	Object reference not set to an instance of an object.,     Method:PostallSettingsline number:0	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 14:07:31] 	 --- 	Object reference not set to an instance of an object.,     Method:PostallSettingsline number:0	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 14:14:37] 	 --- 	clientpcname	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 14:14:58] 	 --- 	clientpcname	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 14:23:45] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:23:45] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:23:45] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:23:45] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:32:05] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:32:05] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:32:05] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:32:05] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:49:58] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:49:58] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:49:58] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 14:49:58] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:01:28] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:01:28] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:01:28] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:01:29] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:04:25] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:04:25] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:04:25] 	 --- 	DB_STATUS: 0	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:04:25] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:25:24] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:25:24] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:25:24] 	 --- 	DB_STATUS: 0	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 16:25:24] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:16:17] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:16:17] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:16:17] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:16:17] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:16:51] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:16:51] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:16:51] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:16:53] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:22:11] 	 --- 	Invalid length for a Base-64 char array or string.,       Method:Postisftpuploadready	 --- 	In Method: apiSmartJawdah.Controllers.APISettingsController
[14-Mar-19 - 17:41:55] 	 --- 	Started	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:41:55] 	 --- 	clientpcname :SV155	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:41:55] 	 --- 	DB_STATUS: 1	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
[14-Mar-19 - 17:41:55] 	 --- 	2	 --- 	In Method: apiSmartJawdah.Controllers.APIInsertController
